               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.018544,           0.0055303,           0.0047805,             0.99626,             0.99368,             0.99499,             0.85487,            0.013427,           0.0041125,           0.0010034,           0.0091861,           0.0091861,           0.0091861
                  64,             0.01852,           0.0055108,           0.0048174,             0.99549,             0.99445,             0.99508,             0.85456,            0.013425,           0.0041133,          0.00099906,           0.0091606,           0.0091606,           0.0091606
                  65,            0.018481,           0.0054941,           0.0048234,             0.99584,             0.99427,             0.99507,             0.85501,             0.01341,           0.0041127,          0.00099759,           0.0091348,           0.0091348,           0.0091348
                  66,            0.018517,           0.0055182,           0.0048649,             0.99565,             0.99449,             0.99507,              0.8553,            0.013401,            0.004108,          0.00099525,           0.0091086,           0.0091086,           0.0091086
                  67,             0.01844,           0.0054928,           0.0047779,             0.99478,              0.9955,             0.99506,             0.85568,            0.013385,           0.0041068,          0.00097908,           0.0090821,           0.0090821,           0.0090821
                  68,            0.018461,           0.0055261,           0.0048484,             0.99392,             0.99549,             0.99505,             0.85558,            0.013365,           0.0041011,          0.00097005,           0.0090552,           0.0090552,           0.0090552
                  69,            0.018463,           0.0055039,           0.0047903,             0.99532,             0.99416,             0.99505,             0.85557,            0.013344,            0.004097,          0.00097054,            0.009028,            0.009028,            0.009028
                  70,             0.01851,           0.0055131,           0.0048331,              0.9962,              0.9935,             0.99503,              0.8574,            0.013306,           0.0040974,          0.00098928,           0.0090004,           0.0090004,           0.0090004
                  71,            0.018466,           0.0055012,           0.0047759,             0.99553,             0.99427,             0.99502,             0.85665,              0.0133,           0.0040951,          0.00099454,           0.0089726,           0.0089726,           0.0089726
                  72,            0.018429,           0.0054891,           0.0047844,             0.99556,              0.9944,             0.99503,              0.8574,            0.013286,           0.0040927,          0.00098026,           0.0089444,           0.0089444,           0.0089444
                  73,            0.018454,           0.0054763,           0.0048599,             0.99603,              0.9941,             0.99499,             0.85755,            0.013272,           0.0040943,          0.00096948,           0.0089159,           0.0089159,           0.0089159
                  74,            0.018446,           0.0055066,           0.0047781,             0.99608,             0.99426,               0.995,             0.85707,            0.013252,           0.0040942,          0.00096601,            0.008887,            0.008887,            0.008887
                  75,            0.018391,           0.0054786,           0.0047826,             0.99617,             0.99397,             0.99507,             0.85743,            0.013255,           0.0040944,          0.00096726,           0.0088579,           0.0088579,           0.0088579
                  76,            0.018401,           0.0054846,           0.0048338,             0.99568,             0.99431,             0.99508,             0.85673,            0.013267,           0.0040927,          0.00096606,           0.0088284,           0.0088284,           0.0088284
                  77,            0.018346,           0.0054841,           0.0047174,             0.99583,             0.99425,             0.99508,             0.85693,            0.013274,           0.0040879,          0.00096162,           0.0087987,           0.0087987,           0.0087987
                  78,            0.018312,           0.0054681,            0.004704,             0.99547,             0.99422,             0.99506,             0.85709,             0.01327,           0.0040864,          0.00097235,           0.0087686,           0.0087686,           0.0087686
                  79,            0.018376,           0.0054843,           0.0047026,             0.99441,             0.99528,             0.99505,             0.85706,            0.013265,            0.004084,          0.00098395,           0.0087382,           0.0087382,           0.0087382
                  80,            0.018312,           0.0054588,           0.0046785,             0.99532,             0.99496,             0.99506,             0.85671,            0.013272,           0.0040829,          0.00099507,           0.0087075,           0.0087075,           0.0087075
                  81,            0.018342,           0.0054631,           0.0047315,             0.99517,             0.99519,             0.99507,             0.85714,            0.013254,           0.0040758,           0.0010074,           0.0086765,           0.0086765,           0.0086765
                  82,             0.01824,           0.0054552,           0.0046808,             0.99539,             0.99499,             0.99509,             0.85747,            0.013237,            0.004071,           0.0010073,           0.0086452,           0.0086452,           0.0086452
                  83,            0.018269,           0.0054431,           0.0046517,             0.99544,             0.99454,              0.9951,              0.8585,            0.013219,           0.0040691,           0.0010025,           0.0086137,           0.0086137,           0.0086137
                  84,            0.018317,           0.0054633,           0.0047159,             0.99553,             0.99458,             0.99512,             0.85834,            0.013205,           0.0040676,          0.00099821,           0.0085818,           0.0085818,           0.0085818
