               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.023053,           0.0073471,            0.007253,             0.98441,             0.97771,             0.99218,             0.79891,            0.016808,           0.0053309,           0.0019067,           0.0077409,           0.0077409,           0.0077409
                 109,             0.02308,           0.0073541,           0.0073015,             0.98754,             0.97464,              0.9922,             0.79937,            0.016804,           0.0053296,           0.0019131,           0.0077031,           0.0077031,           0.0077031
                 110,            0.023025,            0.007351,           0.0073315,             0.98695,             0.97491,             0.99224,             0.79975,             0.01678,           0.0053232,           0.0019214,           0.0076651,           0.0076651,           0.0076651
                 111,            0.023021,           0.0073564,           0.0072266,             0.98836,             0.97351,             0.99227,             0.80034,             0.01676,            0.005317,           0.0019266,           0.0076269,           0.0076269,           0.0076269
                 112,            0.022969,           0.0073304,           0.0072468,             0.99012,             0.97268,             0.99222,             0.79997,             0.01674,           0.0053126,           0.0019213,           0.0075886,           0.0075886,           0.0075886
                 113,            0.022986,           0.0073359,           0.0072341,              0.9895,             0.97297,             0.99235,             0.80096,            0.016745,           0.0053102,           0.0019159,           0.0075501,           0.0075501,           0.0075501
                 114,            0.022974,           0.0073315,           0.0072639,             0.99122,             0.97181,             0.99243,             0.80128,            0.016727,           0.0053077,           0.0019077,           0.0075114,           0.0075114,           0.0075114
                 115,            0.022974,           0.0073338,            0.007313,             0.99043,             0.97259,             0.99232,              0.8009,            0.016719,           0.0053045,             0.00188,           0.0074725,           0.0074725,           0.0074725
                 116,            0.023026,           0.0073343,           0.0072771,             0.99066,             0.97202,             0.99243,             0.80124,            0.016692,           0.0053042,           0.0018723,           0.0074335,           0.0074335,           0.0074335
                 117,            0.022891,           0.0073167,           0.0072129,             0.99035,             0.97349,             0.99244,             0.80149,            0.016665,           0.0053034,           0.0018595,           0.0073943,           0.0073943,           0.0073943
                 118,            0.022901,           0.0073211,            0.007195,             0.98972,             0.97339,             0.99249,             0.80225,            0.016651,           0.0052977,           0.0018477,            0.007355,            0.007355,            0.007355
                 119,            0.022866,           0.0072911,           0.0072198,             0.98607,             0.97738,             0.99247,             0.80332,            0.016629,           0.0052925,           0.0018533,           0.0073155,           0.0073155,           0.0073155
                 120,            0.022817,           0.0072626,           0.0071288,             0.98629,             0.97761,             0.99241,             0.80326,             0.01662,           0.0052869,           0.0018438,           0.0072758,           0.0072758,           0.0072758
                 121,            0.022885,           0.0073127,           0.0071908,             0.98725,             0.97755,             0.99248,             0.80303,            0.016617,           0.0052832,             0.00184,           0.0072361,           0.0072361,           0.0072361
                 122,            0.022804,           0.0072798,           0.0070875,             0.98747,             0.97709,             0.99239,             0.80314,            0.016591,           0.0052794,           0.0018356,           0.0071962,           0.0071962,           0.0071962
                 123,            0.022721,             0.00725,           0.0070938,             0.98763,             0.97671,             0.99239,             0.80435,            0.016584,           0.0052767,           0.0018471,           0.0071561,           0.0071561,           0.0071561
                 124,            0.022763,           0.0072788,           0.0071424,             0.98601,             0.97799,             0.99252,             0.80353,            0.016584,           0.0052732,           0.0018539,            0.007116,            0.007116,            0.007116
                 125,            0.022683,           0.0072306,           0.0069632,             0.98689,             0.97823,             0.99254,             0.80374,            0.016572,           0.0052698,           0.0018533,           0.0070757,           0.0070757,           0.0070757
                 126,            0.022674,           0.0072567,           0.0070686,             0.98773,             0.97731,             0.99265,             0.80508,            0.016541,           0.0052608,             0.00185,           0.0070353,           0.0070353,           0.0070353
                 127,            0.022686,           0.0072458,           0.0070474,             0.98612,             0.98009,             0.99268,             0.80519,             0.01652,           0.0052533,           0.0018385,           0.0069948,           0.0069948,           0.0069948
                 128,            0.022615,           0.0072414,           0.0070294,             0.98667,             0.97989,             0.99266,             0.80471,            0.016518,           0.0052529,           0.0018345,           0.0069541,           0.0069541,           0.0069541
                 129,            0.022594,           0.0072363,           0.0070266,             0.98695,             0.98008,             0.99269,             0.80397,            0.016537,           0.0052555,           0.0018233,           0.0069134,           0.0069134,           0.0069134
                 130,            0.022581,           0.0072151,           0.0069369,             0.98618,             0.97997,             0.99272,             0.80349,            0.016519,           0.0052516,           0.0018207,           0.0068726,           0.0068726,           0.0068726
